"","k","y","u"
"1",1,0.0444585270360416,0
"2",2,-0.0466495123565759,0
"3",3,-0.0848370043948898,0
"4",4,0.000231194241576697,0
"5",5,-0.131690812429962,0
"6",6,0.0598269112694685,0
"7",7,-0.07622143703459,0
"8",8,-0.142909030324076,0
"9",9,0.0332244449013422,0
"10",10,-0.0469060687608489,0
"11",11,-0.0334986793584065,2
"12",12,2.15362521555058,2
"13",13,0.280999453325369,2
"14",14,1.69763356984357,2
"15",15,0.638369143867689,2
"16",16,1.14482430536238,-2
"17",17,-3.11668251848989,-2
"18",18,0.396579289461883,-2
"19",19,-2.04814737067553,-2
"20",20,-0.596579918679479,-2
"21",21,-1.04373637890752,-2
"22",22,-1.37850188565067,-2
"23",23,-0.439710324568867,-2
"24",24,-1.87428156441376,-2
"25",25,-0.25508121479876,-2
"26",26,-1.8267210649734,2
"27",27,3.64855419999119,2
"28",28,-0.912102511389274,2
"29",29,2.62440788617283,2
"30",30,0.0138949427739735,2
"31",31,0.919875455119066,2
"32",32,1.23623981761906,2
"33",33,0.504587115849614,2
"34",34,1.64928315629904,2
"35",35,0.123050492761037,2
"36",36,1.95877381691931,2
"37",37,0.165574809720282,2
"38",38,1.64766093468617,2
"39",39,0.519907683523776,2
"40",40,1.27499944198546,2
"41",41,1.08487404159561,-2
"42",42,-3.04019902364646,-2
"43",43,0.816056609480785,-2
"44",44,-2.54869727118264,-2
"45",45,0.10000389227739,-2
"46",46,-1.78742963895354,-2
"47",47,-0.724788766392387,-2
"48",48,-0.735869014742194,-2
"49",49,-1.44618141689525,-2
"50",50,-0.44399994814702,-2
"51",51,-1.74880188171581,2
"52",52,3.740946239408,2
"53",53,-1.08305070766726,2
"54",54,2.79718875569638,2
"55",55,0.0557476956689598,2
"56",56,1.62002934030618,-2
"57",57,-3.03712116414575,-2
"58",58,0.336738462119754,-2
"59",59,-1.51669026289268,-2
"60",60,-1.2363950210049,-2
"61",61,-0.600551104405785,-2
"62",62,-2.01521472246565,-2
"63",63,0.165316259830558,-2
"64",64,-2.29000076175869,-2
"65",65,-0.00339757518048543,-2
"66",66,-1.97179785189398,-2
"67",67,-0.406917715667972,-2
"68",68,-1.45881155302836,-2
"69",69,-0.879843240899304,-2
"70",70,-1.13181581514534,-2
"71",71,-1.32448910175459,2
"72",72,3.28786896946411,2
"73",73,-0.960724480807067,2
"74",74,2.62009961221197,2
"75",75,-0.132389944555081,2
"76",76,1.69421732293032,-2
"77",77,-3.29544983244003,-2
"78",78,0.262622418010065,-2
"79",79,-1.72097226873797,-2
"80",80,-0.828234607515149,-2
"81",81,-0.825951482180971,-2
"82",82,-1.73110362887241,-2
"83",83,-0.0451342874323451,-2
"84",84,-2.08582246114193,-2
"85",85,-0.0433622366891807,-2
"86",86,-2.05107501108581,-2
"87",87,-0.43989806905527,-2
"88",88,-1.43710025778803,-2
"89",89,-0.833184504269883,-2
"90",90,-1.03965798102121,-2
"91",91,-1.09518158924562,2
"92",92,3.09732483458352,2
"93",93,-0.819688209276727,2
"94",94,2.72963012562173,2
"95",95,-0.0669632193342917,2
"96",96,1.93957641365426,-2
"97",97,-3.08408860658433,-2
"98",98,0.403049892206451,-2
"99",99,-1.83295772700021,-2
"100",100,-0.995853660509571,-2
"101",101,-0.693599735064176,-2
"102",102,-1.85120818868182,-2
"103",103,-0.0294133103607375,-2
"104",104,-2.15009221544248,-2
"105",105,0.178727106994576,-2
"106",106,-1.86592214238285,2
"107",107,3.6759194429428,2
"108",108,-1.10095353486191,2
"109",109,2.36332927499751,2
"110",110,-0.0182142757367666,2
"111",111,1.09656960713751,2
"112",112,1.24296426380715,2
"113",113,0.232392180293437,2
"114",114,1.95327732600811,2
"115",115,0.143102012604122,2
"116",116,2.00505054078881,2
"117",117,0.13155275420897,2
"118",118,1.65743753313851,2
"119",119,0.596860515055571,2
"120",120,1.34304790322533,2
"121",121,0.952281078562392,2
"122",122,0.872093424622624,2
"123",123,1.24462055578976,2
"124",124,0.64052380012229,2
"125",125,1.11610385149579,2
"126",126,0.711261126529068,-2
"127",127,-2.66334892443363,-2
"128",128,0.529682453349147,-2
"129",129,-2.05057050203568,-2
"130",130,-0.496542836419037,-2
"131",131,-1.42673509563861,2
"132",132,3.10093755489352,2
"133",133,-0.406154789777269,2
"134",134,1.84692525080395,2
"135",135,0.875037009005853,2
"136",136,0.79748624121301,2
"137",137,1.62540297718901,2
"138",138,0.265882987973386,2
"139",139,1.94602894916264,2
"140",140,0.04741184656729,2
"141",141,1.86147832440393,-2
"142",142,-3.48492838993276,-2
"143",143,0.883184704725499,-2
"144",144,-2.47960380024341,-2
"145",145,-0.202154572645391,-2
"146",146,-1.36360443050328,2
"147",147,2.71725934199028,2
"148",148,0.0568097372234398,2
"149",149,1.28651438471962,2
"150",150,1.22643263917507,2
"151",151,0.249523990913695,-2
"152",152,-2.06604773588571,-2
"153",153,-0.480638378779486,-2
"154",154,-1.26664289825211,-2
"155",155,-1.20793103132663,-2
"156",156,-0.67616681771093,2
"157",157,2.3272036195935,2
"158",158,0.0128027587783017,2
"159",159,1.60504853637472,2
"160",160,0.730330547676606,2
"161",161,0.761738330695219,2
"162",162,1.44613726025565,2
"163",163,0.55482776692373,2
"164",164,1.52593188980271,2
"165",165,0.565970770673685,2
"166",166,1.7148456239515,-2
"167",167,-3.56574343308817,-2
"168",168,1.00328649279451,-2
"169",169,-2.27473688153675,-2
"170",170,-0.272026194574494,-2
"171",171,-1.27430353986454,-2
"172",172,-1.11804579462688,-2
"173",173,-0.438448576823844,-2
"174",174,-1.68971201950523,-2
"175",175,-0.203682806498339,-2
"176",176,-1.77970160288351,-2
"177",177,-0.16268642636593,-2
"178",178,-1.49763164642593,-2
"179",179,-0.736187561674996,-2
"180",180,-1.47406658420873,-2
"181",181,-1.08990520242123,2
"182",182,3.07816558309265,2
"183",183,-0.698721473314959,2
"184",184,2.63194491251391,2
"185",185,0.00540108750910567,2
"186",186,1.77932331662564,-2
"187",187,-3.2961806042562,-2
"188",188,0.547629857853656,-2
"189",189,-1.89159802871198,-2
"190",190,-0.868650351829626,-2
"191",191,-0.798341752486234,2
"192",192,2.2825217770403,2
"193",193,0.374544874466927,2
"194",194,1.02165977256975,2
"195",195,1.25511187844153,2
"196",196,0.40773426684333,2
"197",197,1.98216323886421,2
"198",198,0.269573412870031,2
"199",199,1.72131418015681,2
"200",200,0.35554102837835,2
"201",201,1.6443016621196,-2
"202",202,-3.23733287515564,-2
"203",203,0.744234649251595,-2
"204",204,-2.14974788846431,-2
"205",205,-0.625511109240365,-2
"206",206,-1.25003184775751,2
"207",207,2.606908832647,2
"208",208,0.186044463935676,2
"209",209,1.4837935896636,2
"210",210,1.10911138100014,2
"211",211,0.388241394807873,-2
"212",212,-2.10044827916765,-2
"213",213,-0.246511049875448,-2
"214",214,-1.38727519237903,-2
"215",215,-1.12625065364738,-2
"216",216,-0.694220428974127,2
"217",217,2.42194498801261,2
"218",218,0.0425956199089759,2
"219",219,1.48913875268078,2
"220",220,0.926573482967945,2
"221",221,0.734761917427544,-2
"222",222,-2.71304171735555,-2
"223",223,-0.00684876233291146,-2
"224",224,-1.50235103158482,-2
"225",225,-0.913022580637139,-2
"226",226,-0.910710500306701,2
"227",227,2.47398134390081,2
"228",228,0.189507542348847,2
"229",229,1.50816437567387,2
"230",230,0.968378558520421,2
"231",231,0.745544909668139,2
"232",232,1.59054679227771,2
"233",233,0.350959903862166,2
"234",234,1.75400717850082,2
"235",235,0.306904193551098,2
"236",236,1.71999143402427,-2
"237",237,-3.27599016955484,-2
"238",238,0.910238998737532,-2
"239",239,-2.35701850528167,-2
"240",240,-0.39105954440429,-2
"241",241,-1.19312535000156,2
"242",242,2.61323669909534,2
"243",243,-0.035389449366736,2
"244",244,1.53016730751851,2
"245",245,1.06860981169776,2
"246",246,0.598037004284486,2
"247",247,1.64198857049581,2
"248",248,0.242681446896262,2
"249",249,2.06598051782956,2
"250",250,0.0259717512346825,2
"251",251,1.7629235504795,2
"252",252,0.25066903112164,2
