"","k","y","u"
"1",1,-2,1.54629230631912
"2",2,-2,3.5077318816945
"3",3,-2,-7.80421192276731
"4",4,-2,12.0292383805967
"5",5,-2,-13.5451383137567
"6",6,-2,12.6144021967604
"7",7,-2,-10.8589863428974
"8",8,-2,8.63290471383277
"9",9,-2,-5.80293599284884
"10",10,-2,3.19396876171788
"11",11,-2,-1.39004590422577
"12",12,-2,-1.0629121590169
"13",13,2,25.4447908265594
"14",14,2,-23.4380267056492
"15",15,2,19.7541731640751
"16",16,2,-15.1845368340453
"17",17,2,10.0767631493013
"18",18,-2,-27.5262750857949
"19",19,-2,19.6286590851275
"20",20,-2,-10.9428086695885
"21",21,-2,4.92492618787609
"22",22,-2,0.0125952160829625
"23",23,-2,-4.99341262823713
"24",24,-2,9.3009121517748
"25",25,-2,-11.2577737722245
"26",26,-2,11.2675495658202
"27",27,-2,-11.0758598520594
"28",28,-2,8.88830824526824
"29",29,-2,-5.50122100502658
"30",30,-2,3.33159520311764
"31",31,-2,-1.13904305477778
"32",32,-2,-0.306304622362646
"33",33,2,23.1286138990402
"34",34,2,-21.6088118110037
"35",35,2,19.5803667481742
"36",36,2,-15.4278422426453
"37",37,2,11.0693880349807
"38",38,-2,-27.7138295962567
"39",39,-2,19.2373420092099
"40",40,-2,-12.3352838783988
"41",41,-2,4.6180148078331
"42",42,-2,1.66743080019207
"43",43,-2,-6.38612711904542
"44",44,-2,10.0502148558316
"45",45,-2,-11.6990550856873
"46",46,-2,12.8472940776265
"47",47,-2,-11.2796256623553
"48",48,2,30.5724312282808
"49",49,2,-26.352362901688
"50",50,2,19.1112550456491
"51",51,2,-13.1381554851321
"52",52,2,6.14987871248705
"53",53,2,0.807608897567792
"54",54,2,-5.57497810948846
"55",55,2,9.4935306177721
"56",56,2,-9.98611371835577
"57",57,2,10.271728711852
"58",58,2,-10.3354419924623
"59",59,2,8.41778075895009
"60",60,2,-5.8508381101136
"61",61,2,4.11645880832049
"62",62,2,-2.15572597833459
"63",63,2,-0.442367667441485
"64",64,2,2.0551038716865
"65",65,2,-3.3325937296322
"66",66,2,2.62361133754857
"67",67,2,-2.23337787209368
"68",68,-2,-18.6165613211515
"69",69,-2,17.6148543230635
"70",70,-2,-14.2343668283393
"71",71,-2,8.5730353714394
"72",72,-2,-5.13155030439193
"73",73,2,24.9776105291591
"74",74,2,-19.3474205041495
"75",75,2,12.429466546802
"76",76,2,-5.36157267876888
"77",77,2,-0.427820874801807
"78",78,2,4.56733146981172
"79",79,2,-7.50000351576731
"80",80,2,9.26878656870048
"81",81,2,-10.4740166069765
"82",82,2,10.0075799322819
"83",83,-2,-29.4942843594242
"84",84,-2,24.0973754171187
"85",85,-2,-18.5513459236446
"86",86,-2,12.5639029580002
"87",87,-2,-6.40731882312913
"88",88,2,22.5127198451326
"89",89,2,-14.6767841205374
"90",90,2,6.78385698830202
"91",91,2,-0.331450295980942
"92",92,2,-5.38926853202873
"93",93,-2,-12.7742116554142
"94",94,-2,8.74615735446988
"95",95,-2,-4.33611620734962
"96",96,-2,0.323893147472181
"97",97,-2,2.93356000891017
"98",98,2,16.5685602400967
"99",99,2,-12.7677523910653
